name,class,age,mail,year
Kevin Smith PhD,A,19,normanangela@yahoo.com,3rd
Joshua Koch,B,20,john56@hotmail.com,3rd
Christopher Padilla,A,24,xgriffin@gmail.com,4th
Sara Perry,D,19,mannnancy@yahoo.com,2nd
Brandon Stokes,B,21,beckywilliams@yahoo.com,1st
Thomas Clark,A,25,paulporter@parsons-wilson.com,2nd
Penny Summers,C,25,hsampson@hotmail.com,1st
Mark Williams,D,20,glopez@williams.info,4th
Tammy Hebert,C,23,jonathan22@yahoo.com,3rd
Karina Singleton,A,18,blairchristine@anderson.com,2nd
Robert Martin,D,23,dylanpatterson@murphy.info,2nd
Timothy Walton,B,25,christopher58@mathis-mcmillan.com,2nd
Darren Blake,D,20,smithmary@yahoo.com,3rd
Kelly Dixon,D,19,tylerwalker@yahoo.com,1st
Teresa Reeves MD,B,20,elizabethharris@hunt.org,2nd
Karina Cohen,C,24,jspencer@gmail.com,2nd
Garrett Ibarra,A,20,coxdenise@molina-beard.info,3rd
Meghan Richardson,A,19,ohall@johnson.org,4th
Angel Fields,C,18,kathryn05@haney.com,2nd
Sandra Reed,A,25,daniel23@davis.org,2nd
Madison Mosley,D,23,deborah63@wood-harrington.com,2nd
Brian Smith,D,22,eric25@yahoo.com,4th
Steven Perez,D,24,foxjames@chandler-pham.com,3rd
Billy Hooper,D,19,jgordon@mendoza-poole.com,3rd
Cynthia Miranda,A,23,mbrown@macdonald-fitzpatrick.info,3rd
Omar Mendoza,A,20,shawnwalsh@porter-watson.com,1st
Rick Jones,C,23,nguzman@yahoo.com,3rd
Steven Sparks,C,19,arice@gmail.com,4th
Mrs. Lori Lopez,A,24,kevin06@yahoo.com,3rd
Cassandra Cardenas,A,22,jeremy74@yahoo.com,2nd
Vincent Wilkerson,A,19,daniel19@russell-briggs.biz,3rd
Charles Montgomery,D,21,christina97@allen-jimenez.biz,4th
Charles Jones,B,20,ssmith@gmail.com,3rd
Judy Greene,D,18,vwalker@finley.com,1st
Jennifer Brooks,D,18,langtanya@williamson.info,4th
Charles Holloway,B,25,johnsonbriana@adams.com,3rd
Randy Bender,B,25,ndiaz@gmail.com,2nd
Shawn Wright,B,24,timothywinters@gmail.com,2nd
Linda Williams,A,25,frangel@matthews.net,3rd
